,Name,Price,Cpu,Ram,Rom
11,Laptop LG gram 2023 i7 1360P/16GB/512GB/Win11 (14Z90R-G.AH75A5),38.990.000₫,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 6000 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
12,Laptop LG gram Style 2023 i5 1340P/16GB/512GB/90Hz/Win11 (14Z90RS-G.AH54A5),38.990.000₫,i5 1340P 1.9GHz,16 GB LPDDR5 (Onboard) 6000 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
13,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/16GB/512GB/Túi/Win11 (NQ125W),36.990.000₫ *,i7 1355U 1.7GHz,16 GB LPDDR5 (Onboard) 5500 MHz,512 GB SSD NVMe PCIe Gen 4.0
14,Laptop Lenovo Yoga Duet 7 13ITL6 i7 1165G7/16GB/1TB/Touch/Pen/Win11 (82MA009PVN),36.490.000₫,i7 1165G7 2.8GHz,16 GB DDR4 (Onboard) 3200 MHz,1 TB SSD
15,Laptop LG gram 2023 i5 1340P/16GB/256GB/Win11 (14Z90R-G.AH53A5),32.490.000₫,i5 1340P 1.9GHz,16 GB LPDDR5 (Onboard) 6000 MHz,256 GB SSD NVMe PCIe Gen 4 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
16,N/A,29.990.000₫,N/A,N/A,N/A
17,Laptop Lenovo Yoga Slim 7 Carbon 13ITL5 i7 1165G7/16GB/1TB/Win11 (82EV00AWVN),29.740.000₫ *,i7 1165G7 2.8GHz,16 GB LPDDR4X (Onboard) 4266 MHz,1 TB SSD M.2 PCIe
18,Laptop Lenovo Yoga Duet 7 13ITL6 i5 1135G7/8GB/512GB/Touch/Pen/Win11 (82MA009NVN),28.490.000₫,i5 1135G7 2.4GHz,8 GB DDR4 (Onboard) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
19,Laptop Lenovo Yoga Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/Win11 (82EV00AVVN),24.640.000₫ *,i5 1135G7 2.4GHz,16 GB LPDDR4X (Onboard) 4266 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
20,Laptop Asus ExpertBook B5402CB i5 1240P/16GB/512GB/Win11 (KI0353W),23.490.000₫ *,i5 1240P 1.7GHz,16 GB DDR5 2 khe (1 khe 8 GB onboard + 1 khe 8 GB) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)"
21,Laptop HP Elitebook 630 G9 i5 1235U/8GB/512GB/Win11 (6M143PA),19.590.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,512 GB SSD NVMe PCIe
22,Laptop Asus ZenBook UX325EA i5 1135G7/8GB/512GB/Cáp/Túi/Win11 (KG656W),18.790.000₫ *,i5 1135G7 2.4GHz,8 GB LPDDR4X (Onboard) 4267 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
23,Laptop Acer Swift 3 SF314 511 55QE i5 1135G7/16GB/512GB/Win11 (NX.ABNSV.003),17.690.000₫ *,i5 1135G7 2.4GHz,16 GB LPDDR4X (Onboard) 4266 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
24,Laptop Masstel E116 N4020/4GB/128GB/Win10 Pro,2.990.000₫,Celeron N4020 1.1GHz,4 GB DDR4 (Onboard) 2133 MHz,Hỗ trợ khe cắm SSD M.2 SATA mở rộng (nâng cấp tối đa 256 GB) 128 GB eMMC
