,Name,Price,Cpu,Ram,Rom
121,Laptop HP Pavilion X360 14 ek1049TU i5 1335U/16GB/512GB/Touch/Pen/Win11 (80R27PA),21.990.000₫ *,i5 1335U 1.3GHz,16 GB DDR4 (Onboard) 3200 MHz,512 GB SSD NVMe PCIe
122,Laptop HP Pavilion 15 eg2034TX i7 1255U/8GB/512GB/2GB MX550/Win11 (6K780PA),21.890.000₫ *,i7 1255U 1.7GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
123,Laptop Asus Vivobook 14X OLED S3405VA i5 13500H/16GB/512GB/Win11 (KM072W),20.990.000₫ *,i5 13500H 2.6GHz,16 GB DDR4 2 khe (8 GB onboard+ 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe
124,Laptop HP Pavilion X360 14 ek1048TU i5 1335U/8GB/512GB/Touch/Pen/Win11 (80R26PA),20.590.000₫ *,i5 1335U 1.3GHz,8 GB DDR4 (Onboard) 3200 MHz,512 GB SSD NVMe PCIe
125,Laptop Asus Vivobook 15 X1504VA i7 1355U/16GB/512GB/Win11 (NJ023W),19.990.000₫ *,i7 1355U 1.7GHz,16 GB DDR4 2 khe (8 GB onboard+ 1 khe 8 GB) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
126,Laptop HP Elitebook 630 G9 i5 1235U/8GB/512GB/Win11 (6M143PA),19.590.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,512 GB SSD NVMe PCIe
127,Laptop Lenovo ThinkBook 14 G4 IAP i5 1240P/8GB/512GB/Win11 (21DH00B5VN),19.190.000₫,i5 1240P 1.7GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)"
128,Laptop HP Probook 450 G9 i5 1235U/8GB/512GB/Win11 (6M0Y9PA),18.990.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,512 GB SSD NVMe PCIe
129,Laptop HP Pavilion 15 eg2081TU i5 1240P/16GB/512GB/Win11 (7C0Q4PA),17.990.000₫,i5 1240P 1.7GHz,16 GB DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe
130,Laptop HP Pavilion 15 eg2036TX i5 1235U/8GB/512GB/2GB MX550/Win11 (6K782PA),18.090.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
131,Laptop HP Pavilion 15 eg2062TX i5 1235U/8GB/512GB/2GB MX550/Win11 (7C0W7PA),18.090.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
132,N/A,,N/A,N/A,N/A
133,Laptop Acer Swift 3 SF314 511 55QE i5 1135G7/16GB/512GB/Win11 (NX.ABNSV.003),17.690.000₫ *,i5 1135G7 2.4GHz,16 GB LPDDR4X (Onboard) 4266 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
134,Laptop HP 15s fq5077TU i7 1255U/8GB/512GB/Win11 (6K797PA),16.790.000₫ *,i7 1255U 1.7GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
135,Laptop Acer Aspire 3 A315 58 787C i7 1165G7/8GB/512GB/Win11 (NX.ADDSV.00J),16.490.000₫ *,i7 1165G7 2.8GHz,8 GB DDR4 (Onboard 4 GB + 1 khe 4 GB) Từ 2400 MHz (Hãng công bố),"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)"
136,N/A,,N/A,N/A,N/A
137,Laptop HP Pavilion 15 eg2085TU i5 1240P/8GB/256GB/Win11 (7C0Q7PA),15.990.000₫ *,i5 1240P 1.7GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,256 GB SSD NVMe PCIe
138,Laptop Asus Vivobook 14 X1404VA i5 1335U/8GB/512GB/Win11 (NK123W),15.990.000₫ *,i5 1335U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 2933 MHz,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
139,Laptop Asus Vivobook S 14 Flip TP3402VA i3 1315U/8GB/256GB/Touch/Win11 (LZ025W),15.990.000₫ *,i3 1315U 1.2GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,256 GB SSD NVMe PCIe Gen 4
140,Laptop HP Pavilion X360 14 ek0059TU i3 1215U/8GB/256GB/Touch/Win11 (6K7E1PA),14.690.000₫ *,i3 1215U 1.2GHz,8 GB DDR4 (Onboard) 3200 MHz,256 GB SSD NVMe PCIe
141,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),14.490.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) Từ 2400 MHz (Hãng công bố),"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)"
142,Laptop Lenovo IdeaPad 3 15ITL6 i7 1165G7/8GB/512GB/Win11 (82H803CUVN),14.490.000₫ *,i7 1165G7 2.8GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))"
143,Laptop HP Pavilion X360 14 ek0131TU i3 1215U/8GB/256GB/Touch/Win11 (7C0P6PA),14.490.000₫ *,i3 1215U 1.2GHz,8 GB DDR4 (Onboard) 3200 MHz,256 GB SSD NVMe PCIe
144,N/A,,N/A,N/A,N/A
145,Laptop Acer Aspire 5 A514 54 5127 i5 1135G7/8GB/512GB/Win11 (NX.A28SV.007),14.190.000₫ *,i5 1135G7 2.4GHz,8 GB DDR4 (Onboard 4 GB + 1 khe 4 GB) 2666 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)"
146,Laptop Lenovo V15 G3 IAP i5 1235U/8GB/512GB/Win11 (82TT0064VN),13.690.000₫,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)
147,Laptop Asus Vivobook 14 A1405VA i3 1315U/8GB/512GB/Win11 (LY097W),13.290.000₫ *,i3 1315U 1.2GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,512 GB SSD NVMe PCIe
148,Laptop Lenovo V14 G3 IAP i5 1235U/8GB/256GB/Win11 (82TS005RVN),12.990.000₫,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 512 GB) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)"
149,Laptop Itel Spirit 2 i5 1155G7/8GB/512GB/Win11 (71006300202),12.990.000₫ *,i5 1155G7 2.5GHz,8 GB DDR4 (1 khe) 3200 MHz,512 GB SSD NVMe PCIe Hỗ trợ khe cắm SSD M.2 SATA3 (nâng cấp tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)
150,Laptop HP Pavilion 15 eg2086TU i3 1215U/8GB/256GB/Win11 (7C0Q8PA),12.790.000₫ *,i3 1215U 1.2GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,256 GB SSD NVMe PCIe
151,Laptop HP Pavilion 15 eg2062TU i3 1215U/8GB/256GB/Win11 (6K790PA),12.490.000₫ *,i3 1215U 1.2GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,256 GB SSD NVMe PCIe
152,Laptop Lenovo Ideapad 3 15ITL6 i5 1155G7/8GB/512GB/Win11 (82H803RRVN),12.490.000₫,i5 1155G7 2.5GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))"
153,Laptop Acer Aspire 3 A315 59 38PG i3 1215U/8GB/512GB/Win11 (NX.K6TSV.00A),10.690.000₫ *,i3 1215U 1.2GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 2400 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)"
154,N/A,,N/A,N/A,N/A
155,Laptop Acer Aspire 3 A314 35 P6NC N6000/4GB/512GB/Win11 (NX.A7SSV.006),10.290.000₫,Pentium N6000 1.1GHz,4 GB DDR4 (2 khe) Từ 2400 MHz (Hãng công bố),512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA
156,Laptop Itel Spirit 2 i3 1115G4/8GB/256GB/Win11 (71006300240),10.290.000₫ *,i3 1115G4 3GHz,8 GB DDR4 (1 khe) 3200 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)"
157,Laptop Lenovo Ideapad 3 15ITL6 i3 1115G4/8GB/512GB/Win11 (82H803SFVN),9.990.000₫,i3 1115G4 3GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))"
158,Laptop Lenovo Ideapad 3 15ITL6 i3 1115G4/8GB/256GB/Win11 (82H803SGVN),8.990.000₫,i3 1115G4 3GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))"
159,Laptop Lenovo ThinkBook 14 G3 ACL R3 5300U/8GB/256GB/Win11 (21A200RWVN),7.990.000₫,Ryzen 3 5300U 2.6GHz,8 GB DDR4 (Onboard 4 GB + 1 khe 4 GB) 3200 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242)) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)"
160,Laptop itel ABLE 1S N4020/4GB/256GB/Win11 (71006300027),5.490.000₫ *,Celeron N4020 1.1GHz,4 GB DDR4 (Onboard) 2400 MHz,256 GB SSD M.2 SATA 3 (Có thể tháo ra lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)
161,Laptop Masstel E140 N4120/4GB/128GB/Win10 Pro,5.490.000₫,Celeron N4120 1.1GHz,4 GB DDR4 (Onboard) 2400 MHz,128 GB SSD
162,Laptop Masstel E116 N4020/4GB/128GB/Win10 Pro,2.990.000₫,Celeron N4020 1.1GHz,4 GB DDR4 (Onboard) 2133 MHz,Hỗ trợ khe cắm SSD M.2 SATA mở rộng (nâng cấp tối đa 256 GB) 128 GB eMMC
